Datetime,CHFEUR=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURJPY=X,EURUSD=X,JPYCHF=X,JPYEUR=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDJPY=X
2025-03-28 00:00:00+00:00,1.0497000217437744,171.0780029296875,1.1341469287872314,0.9520900249481201,162.89700317382812,1.080263614654541,0.005843000020831823,0.006136900279670954,0.006628618575632572,0.8817200064659119,0.9257000088691711,150.86099243164062
2025-03-28 00:06:00+00:00,1.0499000549316406,171.08399963378906,1.1340440511703491,0.951990008354187,162.88699340820312,1.0800302028656006,0.00584500003606081,0.006139199715107679,0.006627783644944429,0.8817999958992004,0.9258999824523926,150.8800048828125
2025-03-28 00:12:00+00:00,1.0498000383377075,171.11900329589844,1.1339154243469238,0.951990008354187,162.9250030517578,1.0797970294952393,0.005843000020831823,0.006137100048363209,0.006625764071941376,0.8819000124931335,0.9261000156402588,150.92599487304688
2025-03-28 00:18:00+00:00,1.0499000549316406,171.2760009765625,1.1336840391159058,0.9519799947738647,163.072998046875,1.079563856124878,0.00583800021559,0.006132400128990412,0.006618265062570572,0.8820800185203552,0.9262999892234802,151.0970001220703
2025-03-28 00:24:00+00:00,1.0498000383377075,171.22900390625,1.1337867975234985,0.9520900249481201,163.04600524902344,1.0796804428100586,0.0058389995247125626,0.006133100017905235,0.006620938424021006,0.8820000290870667,0.9261999726295471,151.03599548339844
2025-03-28 00:30:00+00:00,1.0498000383377075,171.23199462890625,1.1336325407028198,0.9520999789237976,163.03900146484375,1.0797970294952393,0.0058399997651577,0.006133100017905235,0.006619929801672697,0.8821200132369995,0.9261000156402588,151.0590057373047
2025-03-28 00:36:00+00:00,1.0497000217437744,171.33200073242188,1.1333885192871094,0.9521600008010864,163.1510009765625,1.0794472694396973,0.005835000425577164,0.006128200329840183,0.006614238023757935,0.8823099732398987,0.9264000058174133,151.18899536132812
2025-03-28 00:42:00+00:00,1.0498000383377075,171.28199768066406,1.1332343816757202,0.9520099759101868,163.08399963378906,1.079214334487915,0.005836999975144863,0.00613120011985302,0.006615506485104561,0.8824300169944763,0.9265999794006348,151.16000366210938
2025-03-28 00:48:00+00:00,1.0497000217437744,171.28500366210938,1.13331139087677,0.9521200060844421,163.10299682617188,1.079214334487915,0.005836999975144863,0.006130299996584654,0.006615638267248869,0.8823699951171875,0.9265999794006348,151.15699768066406
2025-03-28 00:54:00+00:00,1.0496000051498413,171.18099975585938,1.1335169076919556,0.9521700143814087,163.03500366210938,1.079563856124878,0.005835999734699726,0.006128000095486641,0.006620411761105061,0.8822100162506104,0.9262999892234802,151.04800415039062
